id	code	name	abbr	city	division	conference	color	colors
1610612737	hawks	Hawks	ATL	Atlanta	Southeast	Eastern	E2373E	['E2373E', '002A5C', 'BAC4CA']
1610612738	celtics	Celtics	BOS	Boston	Atlantic	Eastern	007239	['007239', 'AE8445', '982527', '000000']
1610612751	nets	Nets	BKN	Brooklyn	Atlantic	Eastern	000000	['000000', 'FFFFFF']
1610612766	hornets	Hornets	CHA	Charlotte	Southeast	Eastern	00848E	['00848E', '260F54', 'CCCCCC']
1610612741	bulls	Bulls	CHI	Chicago	Central	Eastern	C60033	['C60033', '000000']
1610612739	cavaliers	Cavaliers	CLE	Cleveland	Central	Eastern	860038	['860038', '002D62', 'FDBA31']
1610612742	mavericks	Mavericks	DAL	Dallas	Southwest	Western	0063AF	['0063AF', 'BAC4CA', '000000']
1610612743	nuggets	Nuggets	DEN	Denver	Northwest	Western	559FD6	['559FD6', '006BB7', 'FEA927']
1610612765	pistons	Pistons	DET	Detroit	Central	Eastern	EC003D	['EC003D', '0058A6', '001D4A']
1610612744	warriors	Warriors	GSW	Golden State	Pacific	Western	0068B3	['0068B3', 'FFC423']
1610612745	rockets	Rockets	HOU	Houston	Southwest	Western	C60033	['C60033', '000000']
1610612754	pacers	Pacers	IND	Indiana	Central	Eastern	001D4A	['001D4A', 'FEAC2D', 'B0B2B5']
1610612746	clippers	Clippers	LAC	Los Angeles	Pacific	Western	00559A	['00559A', 'EC003D']
1610612747	lakers	Lakers	LAL	Los Angeles	Pacific	Western	FEA927	['FEA927', '42186E', '000000']
1610612763	grizzlies	Grizzlies	MEM	Memphis	Southwest	Western	182A48	['182A48', '4C78AD', 'FEA927', 'AAC8E5']
1610612748	heat	Heat	MIA	Miami	Southeast	Eastern	98002E	['98002E', 'F88D1D', '000000']
1610612749	bucks	Bucks	MIL	Milwaukee	Central	Eastern	C41230	['C41230', '003815', 'BAC4CA']
1610612750	timberwolves	Timberwolves	MIN	Minnesota	Northwest	Western	#003F70	['003F70', '006F42', 'BAC4CA', 'FFE211', 'DE2032', '000000']
1610612740	pelicans	Pelicans	NOP	New Orleans	Southwest	Western	#002B5C	['002B5C', 'B4975A', 'E13A3E']
1610612752	knicks	Knicks	NYK	New York	Atlantic	Eastern	F3571F	['F3571F', '0067B2', 'BAC4CA']
1610612760	thunder	Thunder	OKC	Oklahoma City	Northwest	Western	FDBB30	['FDBB30', 'F05133', '007DC3', '002D62']
1610612753	magic	Magic	ORL	Orlando	Southeast	Eastern	006BB7	['006BB7', 'BAC4CA', '000000']
1610612755	sixers	Sixers	PHI	Philadelphia	Atlantic	Eastern	EC003D	['EC003D', '00559A', 'BAC4CA']
1610612756	suns	Suns	PHX	Phoenix	Pacific	Western	E45F1F	['E45F1F', 'F89F1B', 'BAC4CA', '000000']
1610612757	blazers	Trail Blazers	POR	Portland	Northwest	Western	DE2032	['DE2032', 'BAC4CA', '000000']
1610612758	kings	Kings	SAC	Sacramento	Pacific	Western	542E91	['542E91', 'BAC4CA', '000000']
1610612759	spurs	Spurs	SAS	San Antonio	Southwest	Western	#BA24CA	['BA24CA', '000000']
1610612761	raptors	Raptors	TOR	Toronto	Atlantic	Eastern	C60033	['C60033', 'BAC4CA']
1610612762	jazz	Jazz	UTA	Utah	Northwest	Western	#002A5C	['002A5C', '004812', 'FCB034', 'BACA4CA']
1610612764	wizards	Wizards	WAS	Washington	Southeast	Eastern	002A5B	['002A5B', 'E21836', 'BAC4CA']
